Samples,Assignments,Mean_Error_PPM,StDev_Error_PPM,CHON_ct,CHO_ct,DBE_Mean,AI_Mean,AImod_Mean,NOSC_Mean,NOSC_StDev,NOSC_median,OC_Mean,OC_StDev,OC_median,HC_Mean,HC_StDev,HC_median,C_mean,GFE_Mean,Lignin_ct,ConHC_ct,Lipid_ct,UnsatHC_ct,Protein_ct,AminoSugar_ct,Carb_ct,Tannin_ct,Other_ct,Lignin,ConHC,Lipid,UnsatHC,Protein,AminoSugar,Carb,Tannin,Other,CHO,CHON,Site,Depth,Sample_ID,biome_name,latitude,longitude,mean_GWC,K_mg_per_kg,SO4.S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,TKN_pct,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3.N_mg_per_g_of_soil_mean,NH4.N_mg_per_g_of_soil_mean,NO3.N_mg_per_g_of_soil_median,NH4.N_mg_per_g_of_soil_median,NO3.N_mg_per_g_of_soil_standard_deviation,NH4.N_mg_per_g_of_soil_standard_deviation,NO3.N_mg_per_g_of_soil_standard_error,NH4.N_mg_per_g_of_soil_standard_error,P_Bicarb_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_median,P_Bicarb_mg_per_g_of_soil_standard_deviation,P_Bicarb_mg_per_g_of_soil_standard_error,pH,P_Extract,B.glucosidase_ug_pNP_per_g_per_hour,B.glucosidase_activity_nmol_B.gluc_per_g_soil_per_hour,Respiration_96_h_ug_CO2.C_per_g_soil_per_day,Respiration_24_h_ug_CO2.C_per_g_soil_per_day,Sand_pct,Silt_pct,Clay_pct,WEOC_mean,WETN_mean,WEOC_sd,WETN_sd,WEOC_se,WETN_se,salt_C_mean,salt_N_mean,MBC_mean,MBN_mean,salt_C_sd,salt_N_sd,MBC_sd,MBN_sd,salt_C_se,salt_N_se,MBC_se,MBN_se,ROI.volume.xyz,Voxel.size,connected.pores,pore.size.distribution_0.0.1mm,pore.size.distribution_0.1.0.2mm,pore.size.distribution_0.2.0.3mm,pore.size.distribution_0.3.0.4mm,pore.size.distribution_0.4.0.5mm,pore.size.distribution_0.5.0.75mm,pore.size.distribution_0.75.1mm,pore.size.distribution_1.0.5.0mm,pore.size.distribution_5.0.10.0mm,pore.size.distribution_10.0.25.0mm,pore.size.distribution_25.0.50.0mm,pore.size.distribution_.50.0mm,pore.size.min,pore.size.max,pore.size.mean,pore.size.median,pore.size.variance,pore.volume.mean,pore.volume.fraction,wet.bulk.density,pnm.abs.permeability_x,pnm.total.flow.rate_x,pnm.tortuosity_x,pnm.abs.permeability_y,pnm.total.flow.rate_y,pnm.tortuosity_y,pnm.abs.permeability_z,pnm.total.flow.rate_z,pnm.tortuosity_z,BiomeType
UT23_TOP,8674,0.059836055,0.052981866,3863,4811,11.88356006,0.142248258,0.340966883,0.11004552,0.6065411,0.148148148,0.543392963,0.171594809,0.535714286,1.073887371,0.384917877,1.05,22.43486281,57.16370268,3705,2287,177,28,827,241,147,1230,32,0.427138575,0.263661517,0.02040581,0.003228038,0.095342403,0.027784183,0.016947199,0.14180309,0.003689186,0.554646069,0.445353931,UT23,TOP,1000S_UT23,Temperate Conifer Forests,40.68529298,-109.4999502,1.532,,,,,,,,,,,,,,,,,,0.0024,0.0118,0.0023,0.0115,0.03,0.31,0.03,0.18,0.0008,0.0011,0.05,0.03,6.76,,2648.6,,,736.5,61,28.1,11,0.9495,0.1094,,,,,1.497335127,0.100885591,3.521641834,0.300050293,0.059547655,0.007680646,0.180138393,0.01417859,0.034379855,0.004434423,0.10400295,0.008186013,,0.381,89.13,866241,151329,22179,5466,1799,1214,220,125,0,0,1,0,0.047327,27.63068,0.077158,0.059626,0.003278,0.009138,8.93,1.47,655.0405,9451.503,1.61,434.2878,7562.243,1.68,27.3584,276.1536,1.93,Temp_Conif_Forests
UT24_BTM,3868,0.050704579,0.044401897,900,2968,10.60031024,0.095991526,0.297904094,-0.00162112,0.553336996,0,0.548606964,0.148344862,0.548387097,1.14506185,0.373420169,1.111111111,21.48940021,60.34620191,1788,733,93,1,428,161,68,591,5,0.462254395,0.189503619,0.024043433,0.000258532,0.110651499,0.041623578,0.017580145,0.152792141,0.001292658,0.767321613,0.232678387,UT24,BTM,1000S_UT24,Temperate Conifer Forests,40.68204,-109.647218,1.124,,,,,,,,,,,,,,,,,,0.001,0.002,0.001,0.002,0,0.1,0,0.06,0.0013,0.0016,0.06,0.03,6.07,,26.2,,,36.2,55.2,11.9,33,0.104983333,0.004244333,0.011329423,0.000209387,6.230556232,2.848265259,0.072397784,0.00463558,0.036418027,0.005942072,0.001080336,0.000132323,0.005752813,0.001427404,0.000623732,7.64E-05,0.003321388,0.000824112,,0.381,87.06,948733,75604,15250,5172,2065,1412,236,101,0,0,1,0,0.047327,26.90931,0.066801,0.047327,0.002663,0.006116,8.44,2.51,7439.816,107441,1.45,9928.803,173244.3,1.49,55.19074,556.6532,1.75,Temp_Conif_Forests
UT24_TOP,7770,0.055743684,0.051681449,3235,4535,11.39137709,0.152319738,0.328929851,0.087415348,0.62131401,0.125,0.545607929,0.176170209,0.535714286,1.095517272,0.391476845,1.076923077,22.03526384,57.80866259,3230,1955,190,16,792,229,168,1159,31,0.415701416,0.251608752,0.024453024,0.002059202,0.101930502,0.029472329,0.021621622,0.149163449,0.003989704,0.583655084,0.416344916,UT24,TOP,1000S_UT24,Temperate Conifer Forests,40.68204,-109.647218,1.121,,,,,,,,,,,,,,,,,,0.0009,0.003,0.001,0.0027,0.03,0.26,0.03,0.15,0.0018,0.0016,0.06,0.03,6.32,,281.6,,,733.2,45.1,28,27,0.30655,0.023435,0.010829589,0.000840818,2.039623611,2.071459483,,,,,,,,,,,,,,0.381,96.52,901911,119252,19181,5329,1784,971,114,31,0,0,1,0,0.047327,34.59327,0.071239,0.05962,0.003445,0.021119,16.18,1.98,1514.143,21832.71,1.61,837.5591,14639.58,1.61,494.3167,5009.107,1.82,Temp_Conif_Forests
UT32_BTM,3865,0.04571593,0.03934118,1447,2418,10.93505821,0.144446911,0.367673786,0.129507131,0.593956113,0.25,0.54792834,0.145237703,0.555555556,1.052311759,0.408926719,1,19.80595084,56.60904678,1414,1222,110,14,405,140,59,494,7,0.365847348,0.316170763,0.028460543,0.003622251,0.104786546,0.03622251,0.015265201,0.127813713,0.001811125,0.625614489,0.374385511,UT32,BTM,1000S_UT32,Deserts & Xeric Shrublands,40.6195637,-109.61135,1.029,,,,,,,,,,,,,,,,,,0.0007,0.0013,0.0006,0.0012,0.03,0.06,0.03,0.03,0.0017,0.0014,0.06,0.03,6.94,,23.2,,,22.4,69.1,16.1,14.9,0.089033333,0.007533333,0.002788518,9.67E-05,1.808257233,0.741398057,0.026244297,0.004172493,0.056127008,0.011585322,0.001119856,0.000614995,0.005761178,0.000379563,0.000646549,0.000355067,0.003326218,0.000219141,,0.381,75.5,886531,136570,18611,4490,1436,779,129,27,0,1,0,0,0.047327,23.05352,0.073714,0.059622,0.00219,0.002623,6.12,2.03,101.9673,1472.89,1.65,105.4138,1830.677,1.63,89.5823,900.0118,1.77,Desert_Shrubland
UT32_TOP,5484,0.047771369,0.040998956,2488,2996,10.91466083,0.157042958,0.357958481,0.113399758,0.590203836,0.19047619,0.538352744,0.146155834,0.538461538,1.068381659,0.40789494,1,20.2162655,57.06810691,2181,1639,121,4,577,208,101,645,8,0.397702407,0.298869438,0.022064187,0.000729395,0.105215171,0.037928519,0.018417214,0.11761488,0.001458789,0.546316557,0.453683443,UT32,TOP,1000S_UT32,Deserts & Xeric Shrublands,40.6195637,-109.61135,1.028,,,,,,,,,,,,,,,,,,0.0019,0.0015,0.0019,0.0015,0.06,0.1,0.06,0.06,0.0081,0.0079,0.15,0.09,6.54,,102.8,,,34.8,65,20.1,15,0.077,0.010313333,0.003769284,0.000573636,2.826229855,3.211269577,0.041580234,0.006167334,0.105053311,0.018839549,0.002034722,0.000428841,0.009877192,0.001251692,0.001174747,0.000247591,0.0057026,0.000722664,,0.381,80.74,889979,134225,1950,4226,1347,706,112,28,0,1,0,0,0.047327,23.29809,0.073487,0.059621,0.002289,0.003424,5.91,1.97,137.5245,1978.816,1.59,130.9785,2279.57,1.62,59.0601,597.7695,1.96,Desert_Shrubland
WLLO_BTM,6818,0.05908146,0.05301548,2636,4182,11.26899384,0.127238076,0.317825569,0.068129216,0.584379633,0.129032258,0.548820049,0.165559256,0.545454545,1.10932026,0.37526034,1.076923077,22.1286301,58.35831736,2958,1555,175,22,679,221,138,1044,26,0.433851569,0.228072749,0.025667351,0.003226753,0.099589322,0.032414198,0.02024054,0.153124083,0.003813435,0.613376357,0.386623643,WLLO,BTM,1000S_WLLO,Temperate Broadleaf & Mixed Forests,39.290382,-76.744543,1.292,47,6,0.24,20.6,25.6,5.8,34,10.26,3.32,0.06,13.76,12.64,0.18,173.89,0.18,2.536,14.089,0.0005,0.0038,0.0004,0.0039,0.03,0.06,0.03,0.03,0.0144,0.0172,0.58,0.33,7.35,,,55.6,62.03,131.62,54.04,25.98,19.98,0.148773433,0.01271575,0.004408259,0.000319915,1.710728514,1.45255309,0.626452479,0.013388567,0.209358792,0.025222932,0.015682924,0.000612904,0.002490312,0.00073941,0.00905454,0.000353861,0.001437782,0.000426898,,0.0381,74.25,1001224,41889,3591,1081,396,294,72,26,0,1,0,0,0.047327,23.74723,0.064172,0.047327,0.000931,0.001158,6.78,2.52,94.6804,1364.042,1.79,265.5582,4632.695,1.61,167.4985,1696.845,1.79,Temp_Forests
WLLO_TOP,3469,0.042722361,0.036338864,914,2555,9.717497838,0.098330552,0.302378725,0.00255097,0.562229289,0,0.544015818,0.154516879,0.545454545,1.144894544,0.363166231,1.125,19.79100605,60.22729736,1573,667,79,3,411,152,53,527,4,0.453444797,0.192274431,0.022773133,0.000864803,0.118477948,0.043816662,0.015278178,0.151916979,0.00115307,0.736523494,0.263476506,WLLO,TOP,1000S_WLLO,Temperate Broadleaf & Mixed Forests,39.290382,-76.744543,1.303,49,4,0.23,0.01,0.7,1,7,10.79,3.53,0.07,14.52,12.8,0.188,129.85,0.188,2.513,13.367,0.0004,0.0023,0.0004,0.0023,0,0,0,0,0.0087,0.0087,0,0,7.58,,,87.2,36.9,114.1,60.02,23.99,15.99,0.081898515,0.009462504,0.024220008,0.003048201,17.07409265,18.59845748,0.342657099,0.009045334,0.187065143,0.032860941,0.002212959,0.000427833,0.005005993,0.000428326,0.001277652,0.000247009,0.002890211,0.000247294,,0.0381,93.06,971314,60894,10365,3260,1333,1011,239,156,1,0,1,0,0.047327,33.83989,0.062466,0.047327,0.002354,0.011653,15.71,2.47,1735.659,25045.55,1.69,4225.399,73817.88,1.57,298.1594,3021.759,1.92,Temp_Forests
WLUP_BTM,6288,0.057130649,0.051829997,2480,3808,11.98823155,0.133960885,0.357668635,0.118294619,0.549998116,0.181818182,0.539713967,0.153923574,0.538461538,1.045236219,0.349365222,1,22.10973282,56.92860336,2922,1655,128,19,452,130,53,922,7,0.464694656,0.263199746,0.020356234,0.003021628,0.071882952,0.0206743,0.008428753,0.146628499,0.001113232,0.605597964,0.394402036,WLUP,BTM,1000S_WLUP,Temperate Broadleaf & Mixed Forests,39.290308,-76.74376,1.353,137,13,0.63,24.1,28.5,9.5,88,9.94,3.52,2.71,16.52,13.46,0.131,157.38,0.131,1.348,10.29,0.0016,0.0007,0.0016,0.0008,0.06,0.06,0.06,0.03,0.0151,0.009,1.15,0.67,7.51,,,25.52,24.65,42.6,30.08,43.18,26.73,0.121494309,0.015619488,0.006762556,0.001571842,3.213618424,5.810069564,0.052835121,0.007131955,0.067500853,0.005974194,0.002139949,0.00096872,0.001992404,8.31E-05,0.0012355,0.000559291,0.001150315,4.80E-05,,0.0381,93.42,994431,44681,5793,1931,813,611,171,141,1,0,1,0,0.047327,30.8882,0.060882,0.047327,0.002355,0.012116,11.9,2.33,53349.84,766793.9,1.45,74469.01,1301915,1.41,1.05319,10.65677,1.62,Temp_Forests
WLUP_TOP,2848,0.045944896,0.041095813,724,2124,11.48244382,0.112780396,0.379660144,0.23661985,0.512009299,0.333333333,0.587413848,0.141939861,0.588235294,0.991706917,0.316311321,0.95,20.19311798,53.55633429,1193,849,23,2,157,41,13,566,4,0.418890449,0.298103933,0.008075843,0.000702247,0.055126404,0.014396067,0.004564607,0.198735955,0.001404494,0.745786517,0.254213483,WLUP,TOP,1000S_WLUP,Temperate Broadleaf & Mixed Forests,39.290308,-76.74376,1.481,117,6,0.84,0.6,5.6,0.7,4,13.88,3.31,5.81,23.3,21.94,0.356,460.22,0.356,5.589,15.699,0.0021,0.0012,0.0022,0.0013,0.03,0.06,0.03,0.03,0.0197,0.0099,1.73,1,7.68,,,95.09,74.65,88.49,40.34,39.09,20.57,0.129148455,0.019242206,0.026783,0.004067322,11.97317648,12.20374339,0.050331091,0.009019577,0.213558009,0.038281967,0.001030636,0.000457702,0.004154895,0.000315202,0.000595038,0.000264254,0.00239883,0.000181982,,0.0381,78.86,836378,38427,8228,3503,1579,1419,437,310,0,1,0,0,0.047327,21.29077,0.62779,0.049784,0.003119,0.007132,4.61,2.44,16.0629,230.9443,1.63,3932.157,68721.57,1.51,0.17115,1.71,1.64,Temp_Forests
WSU1_BTM,3688,0.048811727,0.046303487,981,2707,9.107646421,0.082127262,0.243340525,-0.215017259,0.485056514,-0.19047619,0.493413285,0.145571525,0.5,1.26169761,0.318080363,1.241901776,21.15753796,66.42799187,2201,232,149,1,497,165,80,361,2,0.596800434,0.062906725,0.040401302,0.00027115,0.134761388,0.044739696,0.021691974,0.097885033,0.000542299,0.734002169,0.265997831,WSU1,BTM,1000S_WSU1,,,,1.299,31,6,0.1,0.4,1.2,1.5,21,1.13,0.19,0.03,1.43,13.6,0.081,71.46,0.081,1.611,19.889,0.0012,0.0018,0.0012,0.0016,0,0.21,0,0.12,0.0002,0.0003,0.01,0.01,6.34,,,47,11,20,75.7,16.2,8.1,0.069432465,0.00322596,0.001281658,6.04E-05,1.065734063,1.080125758,,,,,,,,,,,,,,0.0381,83.84,868024,150471,21597,5323,1742,1095,216,107,0,0,1,0,0.04732,26.6356,0.07734,0.05962,0.00312,0.0061,7.75,1.78,218.57,3514.26,1.65,1.74,27.84,1.64,34.54,379.11,1.71,
WSU1_TOP,4268,0.044445698,0.03922851,1343,2925,9.664245548,0.1182285,0.302541962,-0.06693173,0.540581907,0,0.511436742,0.152754552,0.5,1.164929013,0.358811405,1.142857143,20.16541706,62.2075543,2213,683,132,0,486,163,84,503,4,0.518509841,0.160028116,0.030927835,0,0.113870665,0.03819119,0.01968135,0.117853796,0.000937207,0.685332709,0.314667291,WSU1,TOP,1000S_WSU1,,,,1.227,38,4,0.07,0.3,1,0.3,12,1.3,0.2,0.03,1.63,10.77,0.123,79.52,0.123,3.237,26.317,0.0015,0.0037,0.0015,0.0033,0,0.26,0,0.15,0.0074,0.0074,0.06,0.04,6.51,,,63,11,22,74.93,16.72,8.36,0.052455776,0.00360147,0.002636746,0.00014031,2.902113461,2.24931182,,,,,,,,,,,,,,0.0381,90.41,886705,138367,17010,4145,1303,861,141,41,0,0,1,0,0.04732,32.15348,0.072368,0.059625,0.002375,0.007145,14.11,1.89,1406.23,20091.09,1.75,667.46,11678.74,1.66,57.37,577.73,1.94,
WSU2_BTM,5798,0.058008121,0.054077671,1817,3981,10.01172818,0.095163501,0.254857676,-0.157743146,0.524169899,-0.148148148,0.503370571,0.159717809,0.5,1.23114052,0.335780128,1.222222222,22.6193515,64.79567965,3172,574,217,5,773,223,118,712,4,0.547085202,0.098999655,0.037426699,0.000862366,0.133321835,0.038461538,0.020351845,0.122800966,0.000689893,0.686616075,0.313383925,WSU2,BTM,1000S_WSU2,,,,1.294,48,6,0.07,0.2,2,1,24,1.95,0.5,0.06,2.63,15.99,0.097,78.84,0.097,2.204,22.722,0.001,0.0016,0.0012,0.0016,0.03,0,0.03,0,0.0009,0.0009,0.05,0.03,6.8,,,88,19,31,73.36,18.45,8.2,0.090656339,0.004617733,0.004036146,0.000255954,2.570443759,3.20017047,,,,,,,,,,,,,,0.0381,80.09,833063,178802,26197,6460,2201,1380,310,160,0,0,1,0,0.04732,26.578,0.08101,0.06348,0.00364,0.00661,8.49,1,54.54,767.12,1.58,24268,415349.51,1.45,8.99,99.76,1.88,
WSU2_TOP,7350,0.057094355,0.05314955,2723,4627,10.18231293,0.149094792,0.293580255,-0.21882769,0.542472203,-0.230769231,0.452034647,0.16210965,0.434782609,1.205943187,0.35953051,1.210526316,22.74870748,66.53658918,4014,1044,364,34,992,204,132,551,15,0.546122449,0.142040816,0.04952381,0.00462585,0.134965986,0.027755102,0.017959184,0.074965986,0.002040816,0.62952381,0.37047619,WSU2,TOP,1000S_WSU2,,,,1.222,79,5,0.08,0.4,22.5,0.2,15,2.68,0.39,0.07,3.34,11.24,0.103,96.18,0.103,5.132,49.825,0.0012,0.0142,0.0011,0.0139,0.03,0.12,0.03,0.07,0.0034,0.0021,0.27,0.15,6.37,,,127,24,42,73.64,18.25,8.11,0.111022144,0.008411634,0.003596653,0.000247647,1.870373107,1.699775109,,,,,,,,,,,,,,0.0381,82.49,844866,171447,23709,5485,1703,1097,185,81,0,0,1,0,0.04732,26.8211,0.07856,0.05962,0.00302,0.005276,8.82,1.63,59.53,853.1,1.73,286.08,5145.7,1.72,261.86,2579.4,1.66,
WSU3_BTM,2235,0.035655597,0.02900099,619,1616,6.951677852,0.087450655,0.199725501,-0.360150714,0.46901392,-0.352941176,0.47307643,0.151786362,0.464285714,1.37147437,0.31726426,1.363636364,18.20671141,70.56429534,1189,73,119,1,466,151,78,157,1,0.531991051,0.032662192,0.053243848,0.000447427,0.208501119,0.067561521,0.034899329,0.070246085,0.000447427,0.723042506,0.276957494,WSU3,BTM,1000S_WSU3,,,,1.46,53,5,0.05,0.4,4,0.7,37,0.96,0.2,0.04,1.34,19.72,0.106,85.14,0.106,2.182,20.585,0.001,0.0016,0.0009,0.0018,0.03,0.06,0.03,0.03,0.0003,0.0003,0.02,0.01,6.64,,,115,21,32,65.99,24.94,9.07,0.100272757,0.005607071,0.006595632,0.000221812,3.797631461,2.283957993,,,,,,,,,,,,,,0.0381,70.12,856422,160567,22995,5459,1773,1091,173,92,1,1,0,0,0.04732,22.7935,0.076355,0.05962,0.00268,0.003022,6.52,1.9,976.63,14096.51,1.44,101.17,1765.78,1.6,107.6,1056.76,1.54,
WSU3_TOP,5048,0.054632147,0.050801494,1386,3662,9.400554675,0.097260041,0.243743331,-0.262037354,0.523370358,-0.272727273,0.475195016,0.160386664,0.461538462,1.270692173,0.334020125,1.28,22.46077655,67.76806459,2749,436,279,7,792,192,108,483,2,0.544572108,0.08637084,0.055269414,0.001386688,0.156893819,0.038034865,0.021394612,0.095681458,0.000396197,0.725435816,0.274564184,WSU3,TOP,1000S_WSU3,,,,1.424,150,11,0.07,1.3,17.1,0.2,76,2.6,0.48,0.06,3.52,34.39,0.201,145.95,0.201,6.929,34.473,0.0012,0.0016,0.0009,0.0017,0.07,0.06,0.07,0.03,0.0033,0.0026,0.14,0.08,6.22,,,216,72,112,67.49,24.38,8.13,0.186094762,0.00982812,0.026292541,0.001713492,8.157137626,10.06586443,,,,,,,,,,,,,,0.0381,96.41,899380,126857,15815,4011,1346,895,173,96,0,0,1,0,0.04732,37.022,0.073281,0.05963,0.00344,0.02425,20.08,1.63,1315.82,18411.54,1.63,2183.93,38235,1.62,1.08,10.89,2.03,
WY01_BTM,5886,0.051196271,0.04471322,2449,3437,10.87020048,0.155662553,0.33575331,0.091938806,0.586825219,0.181818182,0.546488922,0.159976059,0.545454545,1.095475689,0.405337902,1.043478261,20.55912334,57.67974404,2277,1567,161,18,638,221,128,861,15,0.386850153,0.266224941,0.027353041,0.003058104,0.108392796,0.037546721,0.021746517,0.146279307,0.00254842,0.583927965,0.416072035,WY01,BTM,1000S_WY01,Temperate Conifer Forests,44.942634,-109.712562,,,,,,,,,,,,,,,,,,,,,,,0.03,0.06,0.03,0.03,,,0,0,7.72,,7.8,,,13.1,56.9,24.1,19,0.04443,0.002513333,0.00468552,0.000264133,6.088648158,6.06753417,,,,,,,,,,,,,,0.381,80.61,974499,60990,8443,2646,1005,770,157,63,0,1,0,0,0.047327,24.89908,0.063701,0.047327,,0.0001886,7.22,2.38,27.07642,390.8627,1.75,203.348,3535.059,1.79,87.8468,890.0772,1.8,Temp_Conif_Forests
WY01_TOP,9639,0.062299487,0.054514599,4477,5162,12.11951447,0.165951152,0.349757773,0.100162204,0.589395803,0.133333333,0.533971382,0.16657821,0.523809524,1.067462962,0.392336133,1.038461538,22.72818757,57.44537719,4071,2724,204,4,889,301,215,1202,29,0.422346716,0.28260193,0.021164021,0.000414981,0.092229484,0.031227306,0.022305218,0.124701733,0.003008611,0.535532732,0.464467268,WY01,TOP,1000S_WY01,Temperate Conifer Forests,44.942634,-109.712562,,,,,,,,,,,,,,,,,,,,,,,0.03,0.06,0.03,0.03,,,0,0,7.28,,182.7,,,406.9,54.9,28.1,17.1,0.115783333,0.009638333,0.004292532,0.000278224,2.140458901,1.666599661,,,,,,,,,,,,,,0.381,98.34,388831,44225,6555,1986,719,468,85,52,0,0,1,0,0.047327,36.2918,0.070131,0.058429,0.005354,0.05734,18.34,1.73,883.8448,12769.9,1.72,1161.63,20302.41,1.68,139.285,1408.771,1.78,Temp_Conif_Forests
WY03_BTM,5517,0.047921097,0.042050091,2373,3144,10.91372123,0.155395339,0.360338599,0.144588374,0.606563919,0.222222222,0.551650319,0.158661143,0.55,1.060996539,0.409918867,1,19.90266449,56.17923134,2060,1699,134,9,557,203,118,721,16,0.373391336,0.307957223,0.024288563,0.001631321,0.100960667,0.03679536,0.021388436,0.130686968,0.002900127,0.569874932,0.430125068,WY03,BTM,1000S_WY03,Temperate Conifer Forests,44.016047,-109.143313,,,,,,,,,,,,,,,,,,,,,,,0.06,0.12,0.06,0.07,,,0,0,7.13,,115.7,,,85.1,50.9,28,21.2,0.1046,0.008476667,0.013956719,0.00125309,7.703551972,8.534859249,,,,,,,,,,,,,,0.381,94.14,908276,121044,14720,3067,865,495,75,31,0,0,1,0,0.047327,29.12396,0.069703,0.059567,0.002267,0.009595,9.9,2.38,481.4542,6950.704,1.68,1405.754,24508.48,1.67,119.3381,1207.289,1.78,Temp_Conif_Forests
WY03_TOP,9574,0.061857218,0.053880463,4742,4832,12.24952998,0.176551335,0.365319979,0.160873333,0.608091512,0.2,0.544607036,0.170189874,0.533333333,1.03723413,0.385282709,1,22.3724671,55.71511001,3946,2906,189,1,776,247,196,1271,42,0.412157928,0.303530395,0.019740965,0.00010445,0.081052851,0.025799039,0.020472112,0.132755379,0.004386881,0.50470023,0.49529977,WY03,TOP,1000S_WY03,Temperate Conifer Forests,44.016047,-109.143313,,,,,,,,,,,,,,,,,,,,,,,0.03,0.21,0.03,0.12,,,0.12,0.07,6.68,,523.9,,,667,46.8,34.1,19.2,0.119083333,0.020326667,0.005523209,0.001892098,2.677810477,5.374236108,,,,,,,,,,,,,,0.381,92.08,890925,125624,21542,6327,2284,1543,248,79,1,0,1,0,0.047327,29.9777,0.074116,0.059618,0.003748,0.014373,11.04,2.08,257.3922,3713.194,1.69,254.0715,4433.657,1.73,91.5181,926.4821,1.87,Temp_Conif_Forests
WY09_BTM,7322,0.056179095,0.050170549,3093,4229,11.40398798,0.153610991,0.343438352,0.099770798,0.602705747,0.166666667,0.543664043,0.166754232,0.540540541,1.08274083,0.407230629,1.04,21.40562688,57.45653227,2885,2047,177,27,765,247,165,988,21,0.394018028,0.279568424,0.024173723,0.003687517,0.10447965,0.033733952,0.022534827,0.13493581,0.002868069,0.577574433,0.422425567,WY09,BTM,1000S_WY09,Temperate Conifer Forests,43.583143,-109.946757,,,,,,,,,,,,,,,,,,,,,,,0,0.06,0,0.03,,,0.06,0.03,6.4,,19.9,,,82.6,26.7,44.2,29.2,0.107733333,0.00633,0.002872426,0.000169337,1.539352858,1.544498091,,,,,,,,,,,,,,0.381,86.95,934970,86873,16733,5514,2301,1708,336,138,0,0,1,0,0.047327,25.38067,0.067939,0.047327,0.003042,0.00704,7.09,2.1,116.7016,1681.801,1.84,27.82262,484.3239,1.83,84.05245,853.349,1.64,Temp_Conif_Forests
WY09_TOP,9227,0.062013316,0.05435859,4306,4921,12.46699902,0.164554126,0.36300107,0.168643777,0.589644805,0.210526316,0.551355557,0.16814586,0.541666667,1.033551208,0.381604079,1,22.61255012,55.49365234,3788,2811,156,0,703,239,185,1308,37,0.410534302,0.304649399,0.016906904,0,0.076189444,0.025902243,0.020049854,0.141757884,0.004009971,0.533326108,0.466673892,WY09,TOP,1000S_WY09,Temperate Conifer Forests,43.583143,-109.946757,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0.06,0.03,6.12,,182.8,,,324.3,44.7,30.3,25,0.136316667,0.009515,0.003973768,0.000214418,1.683034194,1.301042397,,,,,,,,,,,,,,0.381,98.56,370869,54122,9113,2488,872,537,89,24,0,0,1,0,0.047327,37.81674,0.074353,0.059619,0.005973,0.065455,20.7,1.82,1286.773,18582.03,1.69,1512.559,26429.74,1.67,975.7607,9894.199,1.83,Temp_Conif_Forests
WY10_BTM,3535,0.039590991,0.032378613,1179,2356,9.440452617,0.12224499,0.31285525,-0.011484326,0.594054722,0,0.530299709,0.15192456,0.533333333,1.152531733,0.413544211,1.111111111,18.78896747,60.6273033,1435,816,128,6,495,166,73,408,8,0.405940594,0.230834512,0.036209335,0.001697313,0.140028289,0.046958982,0.020650636,0.115417256,0.002263083,0.666478076,0.333521924,WY10,BTM,1000S_WY10,Temperate Conifer Forests,43.582587,-109.97175,,,,,,,,,,,,,,,,,,,,,,,0,0.06,0,0.03,,,0.06,0.03,6.59,,36.2,,,27.5,50.9,26,23.2,0.036591667,0.0029835,0.003167808,0.000363191,4.998227853,7.028277463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temp_Conif_Forests
WY10_TOP,8437,0.05828564,0.051679513,4100,4337,11.87993363,0.163124948,0.361052708,0.140471066,0.597024485,0.2,0.541084632,0.162237023,0.535714286,1.051036667,0.396697773,1,21.70190826,56.29657461,3386,2566,180,3,767,263,163,1091,18,0.401327486,0.304136541,0.021334598,0.000355577,0.090909091,0.031172218,0.019319663,0.129311367,0.00213346,0.514045277,0.485954723,WY10,TOP,1000S_WY10,Temperate Conifer Forests,43.582587,-109.97175,,,,,,,,,,,,,,,,,,,,,,,0,0.06,0,0.03,,,0,0,6.29,,168.8,,,196.1,48.7,32.3,19.1,0.080516667,0.015563333,0.002327194,2.89E-06,1.668730605,0.010708931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temp_Conif_Forests
